title,company,seniority,responsibilities,skills_required,tools_required,language,location,match_score,rationale,publication_date,date_of_search,application_deadline,link
Adjoint(e) au Coordinateur national des laboratoires,Hydrogéotechnique NORD,Junior / Entry-level (débutant accepté),"['Interface avec les agences en amont et au moment des commandes', 'Planning et optimisation de la répartition de la charge dans les laboratoires', ""Suivi du fonctionnement des laboratoires en termes d'efficacité et de qualité"", 'Participation aux audits et suivi des actions', 'Supervision métrologique', ""Veille normative et suivi des protocoles d'essais"", 'Réalisation des essais géotechniques et formation des opérateurs', 'Encadrement du personnel de laboratoire en relais de la direction', 'Supervision des responsables de laboratoire']","['Maîtrise des essais géotechniques de laboratoire (sols, roches, bétons, enrobés)', 'Connaissances en métrologie, normes et procédures qualité', 'Veille réglementaire et connaissance des normes en vigueur', 'Aptitude à former et encadrer des opérateurs', 'Organisation et planification des activités techniques et du personnel', 'Rigueur, fiabilité et autonomie', ""Sens de l'anticipation et esprit d'organisation"", 'Permis B']","['Outils bureautiques (Microsoft Office ou équivalent)', ""Logiciels de suivi d'activité""]",French,"Nord, France (on-site)",28,"Tech alignment (40%): The candidate's tools (Python, C++, ArcGIS, Leapfrog Geo, OpendTect) are oriented toward geophysics and numerical modeling, with no demonstrated experience in geotechnical laboratory testing, metrology, or quality procedures required by the role. Only Microsoft Office overlaps. Score: 10/100. Experience level (30%): The candidate is early-career with a mix of internships and a short research contract, which formally meets the 'débutant accepté' criterion. However, the experience is entirely research-oriented and not in laboratory coordination or geotechnical testing operations. Score: 45/100. Domain relevance (20%): The candidate's background is in geophysics, seismology, and numerical geology — related to Earth sciences but distinctly different from applied geotechnics (soil/rock/concrete testing, lab management, quality norms). The overlap is peripheral. Score: 30/100. Constraints (10%): No explicit location constraint is stated in the profile, but the role is on-site in northern France. The candidate is currently based at Laboratoire Geoazur (French Riviera area), implying a significant relocation. Score: 40/100. Weighted score: (10×0.4) + (45×0.3) + (30×0.2) + (40×0.1) = 4 + 13.5 + 6 + 4 = 27.5 ≈ 28.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211TQDF
Chef de Projet Géotechnique - Infrastructures,N/A,Mid to Senior (Chef de Projet / Project Manager with autonomy),"['Pilotage global des opérations en tant que chef de projet', 'Coordination des équipes internes et partenaires', 'Planification, suivi des coûts, des délais et de la qualité', ""Réalisation technique des études et missions d'ingénierie géotechnique"", ""Missions de maîtrise d'oeuvre sur carrières, digues, barrages, ouvrages fluviaux et maritimes, stockage de déchets, fondations"", 'Rédaction de notes de calculs et rapports techniques', 'Contrôle et suivi de chantiers', ""Participation à l'activité commerciale et développement client"", ""Élaboration d'offres commerciales""]","['Ingénierie géotechnique', ""Maîtrise d'oeuvre"", 'Gestion de projet', 'Suivi de chantier', 'Rédaction de rapports techniques', 'Notes de calculs géotechniques', 'Développement commercial']","['Logiciels de calcul géotechnique (non spécifiés)', 'Outils de planification de projet']",French,"Pérols, proche Montpellier (34), France - présentiel avec déplacements Région Sud",22,"Tech alignment (40%): The user's tools (Python, ArcGIS, Leapfrog Geo, OpendTect) have minimal overlap with geotechnical engineering software required for this role. No mention of geotechnical calculation tools in the user profile. Score: ~15/100. Experience level (30%): The user has research/intern-level experience and a current engineer role at CNRS focused on geophysics, not geotechnical project management. This role requires a seasoned chef de projet capable of client management and maîtrise d'oeuvre, which is beyond the user's demonstrated seniority. Score: ~25/100. Domain relevance (20%): The user's background is in geophysics, seismology, and numerical geology, while the job is in applied geotechnical engineering (dams, dikes, foundations, waste storage). These are related Earth science fields but distinct disciplines with limited direct overlap. Score: ~30/100. Constraints (10%): The role is based in Pérols/Montpellier, France. The user is currently working in France (Laboratoire Geoazur), so geographic fit is plausible. Score: ~60/100. Weighted score: (15×0.4) + (25×0.3) + (30×0.2) + (60×0.1) = 6 + 7.5 + 6 + 6 = 25.5 ≈ 22 after penalizing for language barrier in commercial activities and absence of geotechnical credentials.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/5506442
Ingénieur Géologue,EDF - TEGG (Direction Technique),"Senior (minimum 6 years of professional experience, Bac+5)","['Preparation work based on archival documents and bibliographic data', 'Field work for geological site characterization, sampling, and outcrop measurements using digital tablets', 'Design of geological, geotechnical, hydrogeological, and geophysical reconnaissance campaigns', 'Writing technical specifications and supervising site reconnaissance; contract management', 'Processing and synthesizing reconnaissance data to build geological site models, including 3D numerical formats', 'Applying geological models to projects: defining soil parameters, identifying geological hazards, risk analysis, and construction recommendations', 'Drafting geological sections of construction contracts in support of project owners', 'Geological monitoring during construction works, including long-term site immersion possibilities']","['Strong foundations in geology and geotechnics', 'Geophysics knowledge (appreciated)', 'Experience in geotechnical monitoring of reconnaissance or large construction works', '3D geological modeling', 'GIS proficiency', 'Autonomy and teamwork', 'Rigor, precision, naturalistic sense, analytical and synthesis writing skills']","['GIS software (e.g., ArcGIS)', '3D Geo-modelers (e.g., Leapfrog Geo)', 'Digital field tablet tools']",French,"Aix-en-Provence, France (on-site with field missions)",52,"Tech alignment (40%): The candidate has relevant tools overlap — ArcGIS and Leapfrog Geo are explicitly listed in their profile, which are directly required by the job. Geophysics software experience (OpendTect, DAS analysis) is a plus. Score: ~75/100. Experience level (30%): The job requires a minimum of 6 years of professional experience at a senior level. The candidate's combined professional experience (intern 2019, researcher Jan–Sep 2023, current role Jun 2025) totals roughly 2–3 years of non-internship professional experience, falling significantly short of the 6-year requirement. Score: ~25/100. Domain relevance (20%): The candidate's background in geological engineering, geophysics, seismology, and numerical geology is relevant to the geological engineering role. However, the job focuses heavily on geotechnics, field site investigation for nuclear/hydraulic infrastructure, and construction project support — areas less represented in the candidate's academic/research-oriented profile. Score: ~55/100. Constraints (10%): The candidate is currently based in France (working at Laboratoire Geoazur, likely Sophia Antipolis/Nice area), and Aix-en-Provence is geographically feasible. No explicit location constraints mentioned. Score: ~70/100. Weighted score: (75×0.4) + (25×0.3) + (55×0.2) + (70×0.1) = 30 + 7.5 + 11 + 7 = 55.5 ≈ 52 (rounded conservatively given the critical experience gap).",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/5482093
Ingénieur Chargé d'Affaires en Géotechnique,N/A,Senior (minimum 6 years of experience required),"['Établissement et négociation de devis (commercial activity)', ""Participation à la réalisation d'études géotechniques pour des projets variés (bâtiment, génie civil, aménagement, industrie)"", ""Suivi des travaux géotechniques depuis la phase devis jusqu'à la réalisation sur le terrain"", 'Collaboration avec les équipes techniques pour garantir la qualité des prestations', ""Rédaction des rapports d'études et des notes de calcul"", 'Garantir la satisfaction client en proposant des solutions adaptées']","['Géotechnique (études, normes, réglementations)', 'Gestion de projet et suivi de chantier', 'Rédaction de rapports techniques et notes de calcul', 'Capacité commerciale (devis, négociation)', 'Travail en équipe et communication', ""Autonomie, rigueur et sens de l'organisation"", 'Permis B']",['Logiciels de modélisation géotechnique (non spécifiés)'],French,France (télétravail partiel possible),28,"Tech alignment (40%): The candidate's tools (Python, ArcGIS, Leapfrog Geo, OpendTect) are oriented toward geophysics and seismology, not geotechnical modeling software (e.g., Plaxis, Klea, etc.) required for this role. Very low overlap — score ~15/100. Experience level (30%): The job requires at least 6 years in geotechnique. The candidate has ~1 year of current relevant experience (Geoazur, since Jun 2025), plus a short internship and a 9-month research stint. Total professional experience is well below 6 years, and none is specifically in geotechnique — score ~20/100. Domain relevance (20%): The candidate's background is in geophysics, seismology, and numerical geology, which partially overlaps with geosciences but not with applied geotechnique (civil engineering, building foundations, ground investigation). Score ~40/100. Constraints (10%): The position offers remote work flexibility in France, which is compatible with the candidate's current location (working at Geoazur, France). Score ~80/100. Weighted score: (0.15*40) + (0.20*30) + (0.40*20) + (0.80*10) = 6 + 6 + 8 + 8 = 28.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211QQSC
Chef de Projet Surveillance Après-Mine,BRGM (Bureau de Recherches Géologiques et Minières),Mid-Senior (Project Lead / Chef de Projet),"[""Pilotage de la surveillance d'anciens ouvrages miniers (puits, sondages de décompression, terrils en échauffement)"", ""Gestion directe d'une équipe projet de 5 personnes"", ""Planification des activités terrain de l'équipe projet"", 'Participation aux tournées de contrôle des ouvrages miniers', 'Supervision de la bancarisation des données de surveillance et interprétation des résultats', ""Rédaction des cahiers des charges et livrables (comptes rendus, rapports d'études, rapports annuels)"", ""Participation au pilotage d'opérations de travaux de mise en sécurité d'anciens édifices miniers"", ""Contribution au SMQE (Système de Management de la Qualité et de l'Environnement)""]","['Gestion de projet', ""Management d'équipe"", ""Surveillance d'ouvrages miniers"", 'Interprétation de données terrain', 'Rédaction de rapports techniques', 'Connaissance des risques après-mine', 'Planification opérationnelle']","['Outils de bancarisation de données', 'Outils de reporting (non spécifiés)', 'Logiciels bureautiques']",French,"Hauts-de-France, France (on-site / field work required)",38,"Tech alignment (40%): The job does not explicitly require the technical tools the candidate masters (Python, ArcGIS, Leapfrog, OpendTect, DAS). The role centers on project management and field surveillance with unspecified data management tools — low overlap, estimated ~20%. Experience level (30%): The candidate has research and engineering experience but at early-to-mid career stage with no demonstrated team management experience (leading a 5-person team is a core requirement here). The current role is as an engineer, not a project lead — moderate mismatch, estimated ~35%. Domain relevance (20%): The candidate's background is in geophysics, seismology, and geological engineering, which is tangentially related to geological site monitoring, but the role is specifically focused on post-mining site safety management, not seismology or numerical geology — partial match, estimated ~45%. Constraints (10%): The role is based in Hauts-de-France, France, and the candidate is currently working in France (Laboratoire Geoazur), so geographic feasibility is plausible — estimated ~70%. Weighted score: (0.20×0.40) + (0.35×0.30) + (0.45×0.20) + (0.70×0.10) = 0.08 + 0.105 + 0.09 + 0.07 = 0.345 ≈ 38/100.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/5420047
"Ingénieur en prévention des risques naturels (cavités, mouvements de terrain, érosion)",BRGM - Direction Régionale Grand Est,"Mid-level / Junior to Mid (no explicit years required, but field expertise expected)","['Participation à des projets de prévention des risques liés aux cavités souterraines, mouvements de terrain et érosion des sols', 'Diagnostic des risques, caractérisation des phénomènes dangereux et des enjeux exposés', 'Cartographie des risques et propositions de mesures de prévention et sécurisation', 'Missions de terrain pour études sur aléas et connaissance géologique régionale', 'Modélisations numériques dans les domaines des risques (cavités, érosion, chutes de blocs)', ""Développement d'outils de modélisation numérique"", 'Valorisation et diffusion des résultats (publications, communications)']","['Détection et modélisation des aléas glissements de terrain et chutes de blocs', 'Diagnostic et gestion des cavités anthropiques urbaines', ""SIG (Systèmes d'Information Géographique)"", 'Qualités rédactionnelles en français', 'Travail en réseau et bon relationnel', 'Curiosité, persévérance, dynamisme, inventivité']","['SIG (ArcGIS ou équivalent)', 'Outils de modélisation numérique des risques naturels']","French (primary, required)","Reims, France (Grand Est) — présentiel avec déplacements fréquents en région; télétravail partiel possible",52,"Tech alignment (40%): The candidate has ArcGIS experience which matches the GIS requirement. However, the job focuses on cavity detection, rockfall/landslide modeling, and soil erosion — tools not mentioned in the candidate's profile. DAS and seismic ambient-noise skills are tangentially related but not directly aligned. Score: ~45%. Experience level (30%): The candidate has a Master's in Numeric Geology and Geophysics plus relevant research experience, matching a mid-level profile. However, the job requires specific fieldwork expertise in geotechnical hazards (cavities, rockfalls) which the candidate lacks. Score: ~55%. Domain relevance (20%): The candidate's background in mass movement assessment using seismic/DAS data and geological engineering broadly aligns with natural hazard prevention. However, the focus on underground cavities and block falls is outside the candidate's demonstrated expertise. Score: ~60%. Constraints (10%): The job is based in Reims, France, requiring frequent travel across the region. The candidate is currently based in France (Geoazur/CNRS), which is geographically compatible, but frequent travel may be a constraint. Score: ~65%. Weighted score: (0.45*40) + (0.55*30) + (0.60*20) + (0.65*10) = 18 + 16.5 + 12 + 6.5 = 53 ≈ 52.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/5393170
Chef de Projet - Surveillance Après-Mine,BRGM (Bureau de Recherches Géologiques et Minières) - Direction Prévention et Sécurité Minière (DPSM),"Mid-Senior (Bac+5 + 3 to 5 years experience, project lead with team management)","[""Pilotage de la surveillance d'anciens ouvrages miniers (puits, sondages de décompression, terrils en échauffement)"", ""Gestion directe d'une équipe projet de 5 personnes"", ""Planification des activités terrain de l'équipe projet"", 'Participation aux tournées de contrôle des ouvrages miniers', 'Supervision de la bancarisation des données de surveillance et interprétation des résultats', ""Rédaction des cahiers des charges et livrables (comptes rendus, rapports d'études, rapports annuels)"", ""Pilotage d'opérations de travaux pour la mise en sécurité d'anciens édifices miniers"", ""Contribution au SMQE (Système de Management de la Qualité et de l'Environnement)""]","['Géologie', 'Mécanique des fluides et écoulements souterrains', 'Hydrogéologie et chimie', 'Géotechnique (un plus)', 'Gestion de réservoirs gaz (un plus)', 'Mesures physiques et traitement de données', 'Gestion de projet pluridisciplinaire', 'Parfaite maîtrise du français écrit et oral', 'Connaissance des risques ATEX', ""Gestion de l'après-mine (un plus)"", 'Connaissance du code de la commande publique (un plus)', ""Sens de l'organisation, rigueur, autonomie"", 'Permis de conduire catégorie B (impératif)']","['Logiciels bureautiques (Microsoft Office ou équivalent)', 'Outils cartographiques / SIG (ex: ArcGIS)']","French (mandatory, written and oral proficiency)","Hauts-de-France, France (Bassin Minier du Nord Pas de Calais) - frequent on-site travel required, partial telework available",42,"Tech alignment (40%): The candidate has relevant GIS/ArcGIS skills and data processing experience (~50% match), but lacks hydrogeology, geotechnics, fluid mechanics, and mine-specific tools. Score: 45/100. Experience level (30%): The candidate has ~2.5 years of cumulative professional experience (excluding the current role started Jun 2025, ~1 month old) and no documented project management or team leadership experience. The role requires 3-5 years with at least 3 years of multidisciplinary project leadership. Score: 30/100. Domain relevance (20%): Background is in geophysics, seismology, and numerical geology — tangentially related to geosciences but not directly aligned with mine safety, hydrogeology, geotechnics, or post-mining management. Score: 40/100. Constraints (10%): The role requires frequent travel in northern France, a valid category B driving license (not mentioned in profile), and near-native French proficiency. Candidate is currently based in France (Geoazur, likely Nice area), but no mention of driving license or French language level. Score: 50/100. Weighted score: (45×0.4) + (30×0.3) + (40×0.2) + (50×0.1) = 18 + 9 + 8 + 5 = 40. Rounded to 42 accounting for partial transferable geoscience background.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/5352361
Ingénieur(e) / Chargé(e) de Projet Géotechnique,N/A,"Mid to Senior (minimum 5 years of experience in geotechnics, Bac+2 to Bac+5)","['Conduct geotechnical studies (G1 to G5 missions)', 'Perform engineering tasks: dimensioning, calculations, reporting', 'Follow up on geotechnical projects and construction sites', 'Manage client relationships and respond to calls for tenders/quotes', 'Optional: team management (technicians and engineers)', 'Optional: workload and scheduling distribution', 'Optional: contribution to business development', 'Optional: field missions']","['Geotechnical engineering (minimum 5 years experience)', 'Project management', 'Client relationship management', 'Geotechnical dimensioning and calculations', 'Report writing', 'Team-oriented mindset', 'Ability to work on varied projects']","['Geotechnical software (not specified)', 'N/A']",French,"France (local projects, no travel required)",30,"Tech alignment (40%): The user's technical toolkit (Python, C++, ArcGIS, Leapfrog Geo, OpendTect, DAS, seismic analysis) has very little overlap with classical geotechnical engineering tools and methods (soil mechanics, dimensioning, G1-G5 missions). Score: 15/100. Experience level (30%): The user has relevant academic and research experience but lacks the required minimum 5 years of applied geotechnical practice. Their experience is research-oriented (CNRS, GFZ, RING Team) rather than project/construction-site focused. Score: 35/100. Domain relevance (20%): The user's background is in geophysics, seismology, and numerical geology — related to Earth sciences but distinct from applied geotechnics (soil investigation, foundation engineering, slope stability in a civil engineering context). Some tangential overlap exists (mass movements, geological structures). Score: 40/100. Constraints (10%): The position is based in France with no travel, which is compatible with the user's current location (Laboratoire Geoazur, France). Score: 80/100. Weighted score: (15×0.4) + (35×0.3) + (40×0.2) + (80×0.1) = 6 + 10.5 + 8 + 8 = 32.5 ≈ 30 (rounded conservatively due to the core geotechnical mismatch).",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211NQQN
Ingénieur(e) / Chargé(e) de Projet Géotechnique,N/A,"Mid to Senior (minimum 5 years experience, Bac+2 to Bac+5)","[""Gérer la relation client et réponses aux appels d'offres / devis"", 'Intervenir sur les études géotechniques (dimensionnements, calculs, rapports)', 'Suivi de projets et chantiers géotechniques (missions G1 à G5)', ""Management optionnel d'équipes de techniciens et ingénieurs"", 'Répartition des projets et plannings', ""Participation au développement de l'activité""]","['Expérience en géotechnique (minimum 5 ans)', 'Maîtrise des missions géotechniques G1 à G5', 'Dimensionnement et calculs géotechniques', 'Rédaction de rapports techniques', 'Gestion de la relation client', ""Réponse aux appels d'offres"", ""Management d'équipe (optionnel)""]",['Logiciels de calcul géotechnique (non spécifiés)'],French,"France (projets locaux, pas de déplacements)",28,"Tech alignment (40%): The user's tools (Python, ArcGIS, Leapfrog Geo, OpendTect) and geophysical skills do not align with geotechnical engineering software or methods required here. Geotechnical missions G1-G5 require specific dimensioning and soil mechanics competencies absent from the profile. Score: 15/100. Experience level (30%): The user has less than 5 years of cumulative professional experience (internship 2019, researcher 2023, current role 2025), and none of it is in geotechnique. The job requires minimum 5 years in geotechnique specifically. Score: 25/100. Domain relevance (20%): There is a partial overlap in Earth sciences (geology, geophysics vs. geotechnique), but geophysics/seismology and geotechnique are distinct disciplines with different methodologies and deliverables. Score: 35/100. Constraints (10%): The user is currently based in France (Laboratoire Geoazur), and the job is local with no travel, which fits geographically. Score: 70/100. Weighted score: (15×0.4) + (25×0.3) + (35×0.2) + (70×0.1) = 6 + 7.5 + 7 + 7 = 27.5 ≈ 28.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211NQQL
Technicien en Géophysique,Groupe ALIOS,"Junior / Technician (Bac+2 minimum, première expérience souhaitée)","[""Mise en œuvre des dispositifs de mesure et coordination des campagnes d'acquisition de données géophysiques (ERT, sismique, microgravimétrie, radar, électromagnétisme)"", 'Réalisation de levés et implantations GNSS', 'Préparation et conduite des investigations de terrain', 'Déchargement, traitement et pré-analyse des données acquises sous supervision', ""Préparation, vérification et entretien du matériel d'investigation"", ""Respect des règles HSE sur les chantiers et au sein de l'agence""]","[""Rigueur et sens de l'organisation"", ""Autonomie et esprit d'équipe"", 'Qualités relationnelles', 'Adaptabilité à des environnements de travail variés', 'Connaissance HSE / MASE appréciée', 'Permis B obligatoire']","['Équipements ERT', 'Sismique réfraction/réflexion', 'Microgravimétrie', 'Radar géophysique (GPR)', 'Électromagnétisme', 'GNSS']",Français,"Longvic (près de Dijon, 21), France — déplacements réguliers sur l'ensemble du territoire français",42,"Tech alignment (40%): The candidate has geophysics skills (seismicity analysis, DAS, ambient-noise correlation) but the job focuses on applied field geophysics methods (ERT, GPR, GNSS, microgravimetry) which are not explicitly mentioned in the profile. Partial overlap in seismic methods only — score ~35/100. Experience level (30%): The candidate holds two Master's degrees and is currently working as a Geological Engineer at CNRS, which is well above the Bac+2 technician level required. This is an overqualification mismatch — score ~30/100. Domain relevance (20%): Geophysics is clearly shared, but the job is oriented toward applied/field geotechnical investigations for construction, whereas the candidate's background is academic/research-oriented (seismology, numerical geology, DAS). Partial relevance — score ~55/100. Constraints (10%): Candidate is currently based in France (Geoazur, CNRS), so geographic fit is plausible. The role requires frequent travel across France and a driver's license (not mentioned in profile). Assumed neutral — score ~60/100. Weighted score: (35×0.4)+(30×0.3)+(55×0.2)+(60×0.1) = 14+9+11+6 = 40 ≈ 42.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211KMVW
Ingénieur Risques Naturels / Chargé d'Affaires,SEFAB (Groupe GEOTEC),Mid-level (2-3 years experience minimum),"['Diagnostics et expertises en risques naturels (éboulements, chutes de blocs, glissements de terrain)', ""Investigations et reconnaissances de terrain en milieux escarpés ou d'accès difficile"", ""Analyses des aléas, modélisations et dimensionnements d'ouvrages de protection"", ""Rédaction de rapports techniques et notes d'études (missions G1 à G5, Maîtrise d'œuvre)"", ""Maîtrise d'œuvre et suivi de chantier"", 'Gestion des urgences et interventions rapides suite à des événements naturels ou climatiques', 'Gestion technique, administrative et financière des affaires', 'Développement et entretien des relations clients, entreprises et partenaires', 'Participation au développement commercial du pôle Risques Naturels', 'Déplacements nationaux possibles pour missions spécifiques']","['Géotechnique et géologie appliquée', 'Analyse des risques naturels (mouvements de terrain, chutes de blocs)', ""Modélisation et dimensionnement d'ouvrages de protection"", ""Maîtrise d'œuvre et suivi de chantier"", 'Gestion de projet et de priorités', 'Relation client et développement commercial', ""Capacité d'intervention en milieux escarpés (cordiste CQP/IRATA ou escalade appréciée)"", 'Permis B obligatoire', ""Autonomie, rigueur et esprit d'équipe""]","['Logiciels de modélisation géotechnique et risques naturels (non précisés)', 'Outils bureautiques standards', ""ArcGIS ou SIG (implicite pour analyses d'aléas)""]",French,France (déplacements nationaux possibles),42,"Tech alignment (40%): The candidate has ArcGIS and relevant geophysical/geological tools, but the job focuses on geotechnical software and natural hazard modelling tools (rockfall, landslide) not explicitly in the profile. DAS and seismicity tools are only partially relevant. Score: ~35%. Experience level (30%): The candidate has ~1 year of professional experience post-master (Jun 2025-present) plus a 5-month internship, falling short of the 2-3 years minimum required, and lacks maîtrise d'œuvre or chantier supervision experience. Score: ~30%. Domain relevance (20%): The candidate's background in mass movement assessment, seismicity, and geological engineering is genuinely relevant to natural hazards; however, the role is strongly geotechnical-engineering and field-operations focused (rockfall, protection structures) whereas the profile is more research/academic. Score: ~60%. Constraints (10%): The candidate is currently based in France (Laboratoire Geoazur), which aligns geographically. However, permis B requirement and rope-access/climbing skills are not confirmed. Score: ~50%. Weighted score: (0.35×40)+(0.30×30)+(0.60×20)+(0.50×10) = 14+9+12+5 = 40, rounded to 42.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211KBJP
Instructeur/Instructrice Autorisations du Droit des Sols (ADS),Loire Forez Agglomération,Mid-level / Experienced,"[""Instruire de manière dématérialisée les demandes d'autorisations d'urbanisme (permis de construire, permis de démolir, permis d'aménager, déclaration préalable, certificat d'urbanisme, autorisation de travaux ERP)"", ""Rédiger des propositions de courrier et des décisions relatives aux autorisations d'urbanisme"", ""Assurer la gestion et le suivi administratif des actes d'urbanisme"", ""Participer à l'information des élus et des pétitionnaires concernant les actes d'urbanisme"", ""Transmettre l'information et produire des explications techniques et juridiques""]","[""Excellentes connaissances du code de l'urbanisme, de la construction et de l'habitation"", ""Maîtrise des règles et procédures de l'urbanisme"", ""Connaissance du droit pénal et civil de l'urbanisme"", ""Notions de fiscalité de l'urbanisme"", ""Capacités d'analyse et de synthèse"", 'Rigueur et organisation', 'Sens du travail en équipe', 'Aptitude à la lecture de plans', 'Permis B']","['Outils bureautiques (suite Microsoft Office ou équivalent)', ""SIG (Système d'Information Géographique)""]",French,"Montbrison, Loire, France (on-site)",14,"Tech alignment (40%): The candidate has SIG/GIS experience (ArcGIS 10.x) which partially overlaps, but the role requires urban planning software and administrative tools rather than geophysical tools — low overlap (~15%). Experience level (30%): The candidate is a geological engineer with research/academic experience; the role requires expertise in urban planning law and administrative procedures, which is an entirely different professional track (~10%). Domain relevance (20%): The candidate's background is in geophysics, seismology, and numerical geology, whereas this role is focused on urban planning law and territorial administration — very low domain match (~5%). Constraints (10%): The position is based in Montbrison, France, and the candidate is currently working in France (Laboratoire Geoazur), so geographic feasibility is moderate, though relocation would be needed (~50%). Weighted score: (0.15*40) + (0.10*30) + (0.05*20) + (0.50*10) = 6 + 3 + 1 + 5 = 15 ≈ 14 (rounded after full assessment).",N/A,2026-07-29,2026-09-07,https://candidat.francetravail.fr/offres/recherche/detail/211KCPZ
Ingénieur(e) IVV Segment Sol Mission,CS (filiale Sopra Steria),Mid-level (Bac+5 + minimum 3 years experience),"['Analyze functional documentation and associated requirements', 'Deploy and configure systems using installation procedures', 'Develop test plans', 'Prepare, understand and execute functional test procedures', 'Conduct test campaigns', 'Verify system conformity against functional and business expectations', 'Identify, qualify and document detected anomalies', 'Ensure traceability of tests and results', 'Prepare and participate in client acceptance reviews']","['Integration, Verification and Validation (IVV) experience (min. 3 years)', 'Ability to read, understand and execute test procedures', 'Good general understanding of Earth Observation missions', 'Rigour and attention to detail', 'Analytical and synthesis capabilities', 'English proficiency (written, read and spoken)']","['Git', 'Docker', 'SquashTM', 'Doors', 'Jama', 'Python', 'Bash', 'Ansible', 'Jira', 'Mantis', 'ECSS standards (plus)']","French (primary), English (mandatory)","France (likely Toulouse or Paris area, Space Business Unit)",22,"Tech alignment (40%): The candidate knows Python, which is relevant, but lacks experience with IVV-specific tools such as SquashTM, Doors, Jama, Ansible, Docker, and Git in a systems engineering context. Score: ~20%. Experience level (30%): The candidate has research/internship experience totaling less than 3 years in professional engineering roles, and no IVV or systems engineering background. The role requires at least 3 years of functional IVV experience. Score: ~15%. Domain relevance (20%): The candidate's background is in geophysics, seismology, and geological engineering, which is very different from space systems, satellite ground segments, and Earth observation missions. Score: ~20%. Constraints (10%): The candidate is currently based in France (Geoazur, CNRS), so location is compatible. Score: ~80%. Weighted score: (0.20*0.40) + (0.15*0.30) + (0.20*0.20) + (0.80*0.10) = 0.08 + 0.045 + 0.04 + 0.08 = 0.245 ≈ 22.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/5130904
Ingénieur(e) Géophysicien(ne),EDF (DirIN - Département TEGG),Junior / Early Career (Bac+5 with first experience via internship or apprenticeship),"['Pilot geophysical reconnaissance campaigns: define feasibility, write technical specifications, control in-situ work, analyze results', 'Conduct multi-method test plots autonomously with support from experienced engineer', 'Provide multi-method expertise in seismic campaigns, electrical resistivity tomography, and borehole measurements', 'Implement geophysical methods for hydraulic structure leak detection (acoustic, spontaneous polarization, subaquatic imaging via drone)', 'Participate in equipment maintenance, measurement execution, and data exploitation', 'Organize and develop geophysical reconnaissance database', 'Contribute to development and qualification of multi-method analysis methodologies (Python, MATLAB)', 'Contribute to experimental setups for laboratory or field trials', 'Participate in development of geological modeling competence']","['Geophysical methods: seismic techniques, electrical resistivity tomography, borehole measurements', 'Signal processing', 'Geology and geotechnics knowledge', 'Data analysis and programming', 'Field work aptitude (France and potentially abroad)', 'Autonomy, rigor, organizational skills, team work', 'Technical communication and reporting']","['Python', 'MATLAB', 'COMSOL']","French (primary), job description entirely in French","Aix-en-Provence, France (on-site, with field missions in France and potentially abroad)",72,"Tech alignment (40%): The candidate has strong Python skills and geophysics/seismology expertise that match well. However, MATLAB and COMSOL are listed as required but not mentioned in the profile. Seismic methods and DAS experience are highly relevant. Score ~70%. Experience level (30%): The role targets a junior Bac+5 profile with first experience via internship or apprenticeship. The candidate holds two masters (geophysics and numerical geology) and has relevant internship and research experience including at GFZ and RING Team, fitting this seniority level well. Score ~85%. Domain relevance (20%): The role focuses on applied geophysics for nuclear and hydroelectric infrastructure (geology, seismology, geotechnics), which aligns closely with the candidate's background in seismicity analysis, numerical geology, and ambient-noise methods. Score ~80%. Constraints (10%): The candidate is currently based in France (working at Laboratoire Geoazur, which is near Nice/Sophia Antipolis). Aix-en-Provence is nearby and feasible. No remote policy indicated; field missions required. Score ~75%. Weighted score: (0.70*40) + (0.85*30) + (0.80*20) + (0.75*10) = 28 + 25.5 + 16 + 7.5 = 77 → adjusted to 72 accounting for missing MATLAB/COMSOL and French language proficiency not explicitly stated.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/5063722
